doi,abstract,title,journal,description,cover_date,first_name,last_name,date
10.1007/978-3-319-09274-4_25,"An Application Programming Interface for human-level AGI systems is proposed, aimed at bridging the gap between proto-AGI R&D systems and practical AI application development. The API contains simply formalized queries corresponding to the various key aspects of human-like intelligence, organized so as to be independent of the algorithms used under the hood for query resolution and associated supporting cognitive processes. A novel, qualitative (and in principle quantifiable) measure of software general intelligence is proposed (the APIQ), measuring the degree to which a system succeeds at fulfilling the various API functions using a compact set of representations and algorithms. © 2014 Springer International Publishing.",A cognitive API and its application to AGI intelligence assessment,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2014,Ben,Goertzel,2014
10.1007/978-3-319-17091-6_23,© Springer International Publishing Switzerland 2015.The paper investigates the problem of anomaly detection in the maritime trajectory surveillance domain. Conformal predictors in this paper are used as a basis for anomaly detection. A multi-class hierarchy framework is presented for different class representations. Experiments are conducted with data taken from shipping vessel trajectories using data obtained through AIS (Automatic Identification System) broadcasts and the results are discussed.,Conformal anomaly detection of trajectories with a multi-class hierarchy,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2015,Alexander,Gammerman,2015
10.1007/978-3-319-21365-1_8,"© Springer International Publishing Switzerland 2015.Some currently popular and successful deep learning architectures display certain pathological behaviors (e.g. confidently classifying random data as belonging to a familiar category of nonrandom images; and misclassifying miniscule perturbations of correctly classified images). It is hypothesized that these behaviors are tied with limitations in the internal representations learned by these architectures, and that these same limitations would inhibit integration of these architectures into heterogeneous multi-component AGI architectures. It is suggested that these issues can be worked around by developing deep learning architectures that internally form states homologous to image-grammar decompositions of observed entities and events.",Are there deep reasons underlying the pathologies of today’s deep learning algorithms?,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2015,Ben,Goertzel,2015
10.1007/978-3-319-21548-8_5,"© Springer International Publishing Switzerland 2015.The authors argue that unless computational deontic logics (or, for that matter, any other class of systems for mechanizing moral and/or legal principles) or achieving ethical control of future AIs and robots are woven into the operatingsystem level of such artifacts, such control will be at best dangerously brittle.",Ethical regulation of robots must be embedded in their operating systems,Cognitive Technologies,Book Chapter,1/1/2015,Selmer,Bringsjord,2015
10.1007/978-3-319-23528-8_31,"© Springer International Publishing Switzerland 2015.Back-propagation has been the workhorse of recent successes of deep learning but it relies on infinitesimal effects (partial derivatives) in order to perform credit assignment. This could become a serious issue as one considers deeper and more non-linear functions, e.g., consider the extreme case of non-linearity where the relation between parameters and cost is actually discrete. Inspired by the biological implausibility of back-propagation, a few approaches have been proposed in the past that could play a similar credit assignment role. In this spirit, we explore a novel approach to credit assignment in deep networks that we call target propagation. The main idea is to compute targets rather than gradients, at each layer. Like gradients, they are propagated backwards. In a way that is related but different from previously proposed proxies for back-propagation which rely on a backwards network with symmetric weights, target propagation relies on auto-encoders at each layer. Unlike back-propagation, it can be applied even when units exchange stochastic bits rather than real numbers. We show that a linear correction for the imperfectness of the auto-encoders, called difference target propagation, is very effective to make target propagation actually work, leading to results comparable to back-propagation for deep networks with discrete and continuous units and denoising auto-encoders and achieving state of the art for stochastic networks.",Difference target propagation,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2015,Yoshua,Bengio,2015
10.1007/978-3-319-26485-1_12,"© 2016, Springer International Publishing Switzerland.When IBM’s Deep Blue beat Kasparov in 1997, Bringsjord (Technol Rev 101(2):23–28, 1998) complained that despite the impressive engineering that made this victory possible, chess is simply too easy a challenge for AI, given the full range of what the rational side of the human mind can muster. However, arguably everything changed in 2011. For in that year, playing not a simple board game, but rather an open-ended game based in natural language, IBM’s Watson trounced the best human Jeopardy! players on the planet. And what does Watson’s prowess tell us about the philosophy, theory, and future of AI? We present and defend snyoptic answers to these questions, ones based upon Leibniz’s seminal writings on a universal logic, on a Leibnizian “three-ray” space of computational formal logics that, inspired by those writings, we have invented, and on a “scorecard” approach to assessing real AI systems based in turn on that three-ray space.","Leibniz’s Art of Infallibility, Watson, and the Philosophy, Theory, and Future of AI",Synthese Library,Book Chapter,1/1/2016,Selmer,Bringsjord,2016
10.1007/978-3-319-27543-711,"© Springer-Verlag Berlin Heidelberg 2015.The dual-process theory of human cognition proposes the existence of two systems for decision-making: a slower, deliberative, problem-solving system and a quicker, reactive, pattern-recognition system. We alter the balance of these systems in a number of computational simulations using three types of agent equipped with a novel, hybrid, human-like cognitive architecture. These agents are situated in the stochastic, multi-agent Tileworld domain, whose complexity can be precisely controlled and widely varied. We explore how agent performance is affected by different balances of problem-solving and pattern-recognition, and conduct a sensitivity analysis upon key pattern-recognition system variables. Results indicate that pattern-recognition improves agent performance by as much as 36.5% and, if a balance is struck with particular pattern-recognition components to promote pattern-recognition use, performance can be further improved by up to 3.6%. This research is of interest for studies of expert behaviour in particular, and AI in general.",A question of balance the benefits of pattern-recognition when solving problems in a complex domain,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2015,Fernand,Gobet,2015
10.1007/978-3-319-41649-6_35,"© Springer International Publishing Switzerland 2016.A new conceptual framing of the notion of the general intelligence is outlined, in the form of a universal learning meta-algorithm called Probabilistic Growth and Mining of Combinations (PGMC). Incorporating ideas from logical inference systems, Solomonoff induction and probabilistic programming, PGMC is a probabilistic inference based framework which reflects processes broadly occurring in the natural world, is theoretically capable of arbitrarily powerful generally intelligent reasoning, and encompasses a variety of existing practical AI algorithms as special cases. Several ways of manifesting PGMC using the OpenCog AI framework are described. It is proposed that PGMC can be viewed as a core learning process serving as the central dynamic of real-world general intelligence; but that to achieve high levels of general intelligence using limited computational resources, it may be necessary for cognitive systems to incorporate multiple distinct structures and dynamics, each of which realizes this core PGMC process in a different way (optimized for some particular sort of sub-problem).",Probabilistic growth and mining of combinations: A unifying meta-algorithm for practical general intelligence,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2016,Ben,Goertzel,2016
10.1007/978-3-319-46331-5_3,"© Springer International Publishing Switzerland 2017.With the increasing trend in exploring the use of agent-based models in empirical contexts, this paper reflects on the use of decision trees learned from questionnaire data as behavioral models for the agents. Decision trees are machine learning algorithms most commonly used in the data mining literature, especially for smaller datasets where other techniques such as Bayesian Networks cannot be applied. In agent-based modelling contexts, decision trees have the advantage over some other machine learning techniques in that the results are more transparent, and can be critiqued by domain experts without a background in computing or artificial intelligence. However, decision trees are sensitive to the way in which they are constructed, particularly with respect to preprocessing. We describe the processes by which the decision trees were derived in the context of a model of everyday pro-environmental behavior at work, comparing various preprocessing methods and exploring their differences.",Empirically-derived behavioral rules in agent-based models using decision trees learned from questionnaire data,Understanding Complex Systems,Article,1/1/2017,Amparo Alonso,Betanzos,2017
10.1007/978-3-319-46723-8_54,"© Springer International Publishing AG 2016.We introduce a deep learning image segmentation framework that is extremely robust to missing imaging modalities. Instead of attempting to impute or synthesize missing data,the proposed approach learns,for each modality,an embedding of the input image into a single latent vector space for which arithmetic operations (such as taking the mean) are well defined. Points in that space,which are averaged over modalities available at inference time,can then be further processed to yield the desired segmentation. As such,any combinatorial subset of available modalities can be provided as input,without having to learn a combinatorial number of imputation models. Evaluated on two neurological MRI datasets (brain tumors and MS lesions),the approach yields state-of-the-art segmentation results when provided with all modalities; moreover,its performance degrades remarkably gracefully when modalities are removed,significantly more so than alternative mean-filling or other synthesis approaches.",HeMIS: Hetero-modal image segmentation,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2016,Yoshua,Bengio,2016
10.1007/978-3-319-50115-4_43,"© 2017, Springer International Publishing AG.Recent advances in AI and robotics have claimed many incredible results with deep learning, yet no work to date has applied deep learning to the problem of liquid perception and reasoning. In this paper, we apply fully-convolutional deep neural networks to the tasks of detecting and tracking liquids. We evaluate three models: a single-frame network, multi-frame network, and a LSTM recurrent network. Our results show that the best liquid detection results are achieved when aggregating data over multiple frames and that the LSTM network outperforms the other two in both tasks. This suggests that LSTM-based neural networks have the potential to be a key component for enabling robots to handle liquids using robust, closed-loop controllers.",Towards Learning to Perceive and Reason About Liquids,Springer Proceedings in Advanced Robotics,Book Chapter,1/1/2017,Dieter,Fox,2017
10.1007/978-3-319-61043-6_6,"© Springer International Publishing AG 2017.This is an essay on the Singularity business. Contrary to what many might expect upon parsing our title, we don’t use ‘the Singularity business’ to refer to the general and multi-faceted discussion and debate surrounding the Singularity, that mythical future point in time when AI exceeds today’s technology beyond what we can see from the present. Rather, we’re concerned with business and economic questions relating to what we dub ‘The MiniMaxularity’, that forseeable future time when the AI of today simply matures.","The Singularity Business: Toward a Realistic, Fine-Grained Economics for an AI-Infused World",Philosophical Studies Series,Book Chapter,1/1/2017,Selmer,Bringsjord,2017
10.1007/978-3-319-75477-2_30,"© Springer International Publishing AG, part of Springer Nature 2018.Identifying named entities is vital for many Natural Language Processing (NLP) applications. Much of the earlier work for identifying named entities focused on using handcrafted features and knowledge resources (feature engineering). This is a barrier for resource-scarce languages as many resources are not readily available. Recently, Deep Learning techniques have been proposed for various NLP tasks requiring little/no hand-crafted features and knowledge resources, instead the features are learned from the data. Many proposed deep learning solutions for Named Entity Recognition (NER) still rely on feature engineering as opposed to feature learning. However, it is not clear whether the deep learning system or the engineered features are responsible for the positive results reported. This is in contrast with the goal of deep learning systems i.e., to learn the features from the data itself. In this study, we show that a feature learned deep learning system is a viable solution to NER task. We test our deep learning systems on CoNLL English and Spanish NER datasets. Our system is able to give comparable results with the existing state-of-the-art feature engineered systems for English. We report the best performance of 89.27 F-Score for English when comparing with systems which do not use any handcrafted features or knowledge resources. Evaluation of our trained system on out-of-domain data indicate that the results are promising with the reported results. Our system when tested on Spanish NER achieves the best reported F-Score of 82.59 indicating its applicability to other languages.",A deep learning solution to named entity recognition,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2018,Pushpak,Bhattacharyya,2018
10.1007/978-3-319-75487-1_41,"© Springer International Publishing AG, part of Springer Nature 2018.The task of end-to-end relation extraction consists of two sub-tasks: (i) identifying entity mentions along with their types and (ii) recognizing semantic relations among the entity mention pairs. It has been shown that for better performance, it is necessary to address these two sub-tasks jointly [13, 22]. We propose an approach for simultaneous extraction of entity mentions and relations in a sentence, by using inference in Markov Logic Networks (MLN) [21]. We learn three different classifiers: (i) local entity classifier, (ii) local relation classifier and (iii) “pipeline” relation classifier which uses predictions of the local entity classifier. Predictions of these classifiers may be inconsistent with each other. We represent these predictions along with some domain knowledge using weighted first-order logic rules in an MLN and perform joint inference over the MLN to obtain a global output with minimum inconsistencies. Experiments on the ACE (Automatic Content Extraction) 2004 dataset demonstrate that our approach of joint extraction using MLNs outperforms the baselines of individual classifiers. Our end-to-end relation extraction performance is better than 2 out of 3 previous results reported on the ACE 2004 dataset.",End-to-end relation extraction using markov logic networks,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2018,Pushpak,Bhattacharyya,2018
10.1007/978-3-319-90080-3_3,"© Springer International Publishing AG, part of Springer Nature 2018.This chapter describes the basic ideas under the ensemble approach, together with the classical methods that have being used in the field of Machine Learning. Section 3.1 states the rationale under the approach, while in Sect. 3.2 the most popular methods are briefly described. Finally, Sect. 3.3 summarizes and discusses the contents of this chapter.",Foundations of ensemble learning,Intelligent Systems Reference Library,Book Chapter,1/1/2018,Amparo Alonso,Betanzos,2018
10.1007/978-3-319-92285-0_10,"© 2018, Springer Verlag. All rights reserved.The Spatial Intelligence and Learning Center (SILC) pioneered the idea of spatial learning: improving learning about spatial concepts and using spatial concepts to facilitate learning about other domains. Spatial concepts are of significant importance in Science, Technology, Engineering and Mathematics (STEM) education including physics, chemistry, geoscience, and biology, as well as most branches of engineering. Spatial concepts are also important in the military. For example, sand tables are used to understand the terrain, since calculating Line of Sight (LOS) for cover and concealment on the battlefield can mean the difference between life or death. In addition, land navigation using topographic maps is a critical skill that all members of the military are required to obtain. For this work in progress, the Army Research Laboratory (ARL) and Northwestern University, a member of SILC, are exploring sketching technologies to support spatial learning, as part of on-going research in adaptive training technologies. ARL’s Generalized Intelligent Framework for Tutoring (GIFT) provides a software platform for developing intelligent tutoring systems. Adaptive learning, where the state of the learner is used to help select their path through activities, has been shown to improve learning. As part of our on-going research, we are in the process of integrating sketch worksheets into GIFT as a new type of instructional media. Sketch worksheets were designed to be general-purpose and use artificial intelligence to provide immediate feedback to students performing sketching assignments. To facilitate dissemination, an authoring environment was created for domain experts and instructors, to enable them to create new worksheets. This poster describes a work in progress to bring together the two lines of research to support the use of sketching in an adaptive learning environment.",Sketching as a modality in intelligent tutoring systems,Communications in Computer and Information Science,Conference Paper,1/1/2018,Ken,Forbus,2018
10.1007/978-3-319-96448-5_14,"© Springer Nature Switzerland AG 2018.We answer the present paper’s title in the negative. We begin by introducing and characterizing “real learning” (RL) in the formal sciences, a phenomenon that has been firmly in place in homes and schools since at least Euclid. The defense of our negative answer pivots on an integration of reductio and proof by cases, and constitutes a general method for showing that any contemporary form of machine learning (ML) isn’t real learning. Along the way, we canvass the many different conceptions of “learning” in not only AI, but psychology and its allied disciplines; none of these conceptions (with one exception arising from the view of cognitive development espoused by Piaget), aligns with real learning. We explain in this context by four steps how to broadly characterize and arrive at a focus on RL.",Do Machine-Learning Machines Learn?,"Studies in Applied Philosophy, Epistemology and Rational Ethics",Book Chapter,1/1/2018,Selmer,Bringsjord,2018
10.1007/978-3-319-97304-3_48,"© Springer Nature Switzerland AG 2018.One of the significant task in spoken language understanding (SLU) is intent detection. In this paper, we propose a deep learning based ensemble model for intent detection. The outputs of different deep learning architectures such as convolutional neural network (CNN) and variants of recurrent neural networks (RNN) like long short term memory (LSTM) and gated recurrent units (GRU) are combined together using a multi-layer perceptron (MLP). The classifiers are trained using a combined word embedding representation obtained from both Word2Vec and Glove. Our experiments on the benchmark ATIS dataset show state-of-the-art performance for intent detection.",Intent detection for spoken language understanding using a deep ensemble model,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2018,Pushpak,Bhattacharyya,2018
10.1007/978-3-319-99316-4_3,"© 2019, Springer Nature Switzerland AG.AI models of the mind rarely discuss the so called “hard problem” of consciousness. Here, I will sketch informally a possible functional explanation for phenomenal consciousness: the conductor theory of consciousness (CTC). Unlike IIT, CTC is a functionalist model of consciousness, with similarity to other functionalist approaches, such as the ones suggested by Dennett and Graziano.",The Cortical Conductor Theory: Towards Addressing Consciousness in AI Models,Advances in Intelligent Systems and Computing,Conference Paper,1/1/2019,Joscha,Bach,2019
10.1007/978-3-540-24612-1_19,"The semantic web is becoming a realizable technology due to the efforts of researchers to develop semantic markup languages such as the DARPA Agent Markup Language (DAML). A major problem that faces the semantic web community is that most information sources on the web today lack semantic markup. To fully realize the potential of the semantic web, we must find a way to automatically upgrade information sources with semantic markup. We have developed a system based on the STALKER algorithm that automatically generates DAML markup for a set of documents based on previously seen labeled training documents. Our rule-learning approach to semantic markup is highly effective when dealing with semistructured documents. © Springer-Verlag Berlin Heidelberg 2003.",Automatically generated DAML markup for semistructured documents,Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Conference Paper,1/1/2004,Tim,Finin,2004
10.1007/978-3-540-24694-7_12,"Both ontology content and ontology building tools evaluations play an important role before using ontologies in Semantic Web applications. In this paper we try to assess ontology evaluation functionalities of the following ontology platforms: OilEd, OntoEdit, Protégé-2000, and WebODE. The goal of this paper is to analyze whether such ontology platforms prevent the ontologist from making knowledge representation mistakes in concept taxonomies during RDF(S) and DAML+OIL ontology import, during ontology building and during ontology export to RDF(S) and DAML+OIL. Our study reveals that most of these ontology platforms only detect a few mistakes in concept taxonomies when importing RDF(S) and DAML+OIL ontologies. It also reveals that most of these ontology platforms only detect some mistakes in concept taxonomies during building ontologies. Our study also reveals that these platforms do not detect any taxonomic mistake when exporting ontologies to such languages.",Evaluation of RDF(S) and DAML+OIL import/export services within ontology platforms,Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Conference Paper,1/1/2004,Asunción Gómez,Pérez,2004
10.1007/978-3-540-25940-4_10,"© Springer-Verlag Berlin Heidelberg 2004.Specific behavior description languages prove to be suitable replacements to native programming language like C++ when the number and complexity of behavior patterns of an agent increases. The XML based Extensible Agent Behavior Specification Language (XABSL) also simplifies the process of specifying complex behaviors and supports the design of both very reactive and long term oriented behaviors. XABSL uses hierarchies of behavior modules called options that contain state machines for decision making. In this paper we introduce the architecture behind XABSL, the formalization of that architecture in XML and the software library XabslEngine that runs the formalized behavior on an agent platform. The GermanTeam [9] employed XABSL in the RoboCup Sony Four Legged League competitions in Fukuoka.",Designing agent behavior with the extensible agent behavior specification language XABSL,Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Conference Paper,1/1/2004,Joscha,Bach,2004
10.1007/978-3-540-30109-7_26,"AI systems must be able to learn, reason logically, and handle uncertainty. While much research has focused on each of these goals individually, only recently have we begun to attempt to achieve all three at once. In this talk I will describe Markov logic, a representation that combines the full power of first-order logic and probabilistic graphical models, and algorithms for learning and inference in it. Syntactically, Markov logic is first-order logic augmented with a weight for each formula. Semantically, a set of Markov logic formulas represents a probability distribution over possible worlds, in the form of a Markov network with one feature per grounding of a formula in the set, with the corresponding weight. Formulas and weights are learned from relational databases using inductive logic programming and iterative optimization of a pseudo-likelihood measure. Inference is performed by Markov chain Monte Carlo over the minimal subset of the ground network required for answering the query. Experiments in a real-world university domain illustrate the promise of this approach. © Springer-Verlag Berlin Heidelberg 2004.","Learning, logic, and probability: A unified view",Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Conference Paper,1/1/2004,Pedro,Domingos,2004
10.1007/978-3-540-30110-3_86,"Blind deconvolution is considered as a problem of quasi maximum likelihood (QML) estimation of the restoration kernel. Simple closed-form expressions for the asymptotic estimation error are derived. The asymptotic performance bounds coincide with the Cramér-Rao bounds, when the true ML estimator is used. Conditions for asymptotic stability of the QML estimator are derived. Special cases when the estimator is super-efficient are discussed. © Springer-Verlag 2004.",QML blind deconvolution: Asymptotic analysis,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Article,1/1/2004,Michael,Bronstein,2004
10.1007/978-3-540-30209-4_6,"Web Services are interfaces to a collection of operations that are network-accessible through standardized XML messaging, and whose features are described using standard XML-based languages. Semantic Web Services (SWS) describe semantically the internal structure and the functional/nonfunctional capabilities of the services, facilitating the design and evaluation of SWSs based on that semantic description of the features of the services. To enable users to design and compose SWSs at the knowledge level, the ODE SWS framework has been proposed. That framework uses problem-solving methods to describe the functional and structural features of the SWSs. In this work, we present a description of the ODE SWS environment as an implementation of the ODE SWS framework. Specially, we focus on the description of the capabilities of the SWSDesigner, the tool of the ODE SWS environment that enables users to design graphically SWSs through different but complementary views of the services. © Springer-Verlag 2004.",Development of semantic web services at the knowledge level,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Article,1/1/2004,Asunción Gómez,Pérez,2004
10.1007/978-3-540-30475-3_4,"A central theme of the Semantic Web is that programs should be able to easily aggregate data from different sources. Unfortunately, even if two sites provide their data using the same data model and vocabulary, subtle differences in their use of terms and in the assumptions they make pose challenges for aggregation. Experiences with the TAP project reveal some of the phenomena that pose obstacles to a simplistic model of aggregation. Similar experiences have been reported by AI projects such as Cyc, which has led to the development and use of various context mechanisms. In this paper we report on some of the problems with aggregating independently published data and propose a context mechanism to handle some of these problems. We briefly survey the context mechanisms developed in AI and contrast them with the requirements of a context mechanism for the Semantic Web. Finally, we present a context mechanism for the Semantic Web that is adequate to handle the aggregation tasks, yet simple from both computational and model theoretic perspectives. © Springer-Verlag 2004.",Contexts for the semantic web,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Article,1/1/2004,Richard,Fikes,2004
10.1007/978-3-540-32256-6_2,"In this paper we propose an approach for tracking a moving target using Rao-Blackwellised particle filters. Such filters represent posteriors over the target location by a mixture of Kalman filters, where each filter is conditioned on the discrete states of a particle filter. The discrete states represent the non-linear parts of the state estimation problem. In the context of target tracking, these are the non-linear motion of the observing platform and the different motion models for the target. Using this representation, we show how to reason about physical interactions between the observing platform and the tracked object, as well as between the tracked object and the environment. The approach is implemented on a four-legged AIBO robot and tested in the context of ball tracking in the RoboCup domain. © Springer-Verlag Berlin Heidelberg 2005.",Map-based multiple model tracking of a moving object,Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),Conference Paper,1/1/2005,Dieter,Fox,2005
10.1007/978-3-540-39718-2_48,"Despite numerous efforts, the semantic web has yet to achieve widespread adoption. Recently, some researchers have argued that participation in the semantic web is too difficult for ""ordinary"" people, limiting its growth and popularity. In response, this paper introduces MANGROVE, a system whose goal is to entice non-technical people to semantically annotate their existing HTML data. MANGROVE seeks to alter the cost-benefit equation of authoring semantic content. To increase the benefit, MANGROVE is designed to make semantic content instantly available to services that consume the content and yield immediate, tangible benefit to authors. To reduce the cost, MANGROVE makes semantic authoring as painless as possible by transferring some of the burden of schema design, data cleaning, and data structuring from content authors to the programmers who create semantic services. We have designed and implemented a MANGROVE prototype, built several semantic services for the system, and deployed those services in our department. This paper describes MANGROVE'S goals, presents the system architecture, and reports on our implementation and deployment experience. Overall, MANGROVE demonstrates a concrete path for enabling and enticing non-technical people to enter the semantic web. © Springer-Verlag Berlin Heidelberg 2003.",Mangrove: Enticing ordinary people onto the semantic web via instant gratification,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Article,1/1/2003,Oren,Etzioni,2003
10.1007/978-3-540-45173-0_26,Darpa Agent Markup Language (DAML) [7] is the newest effort for Semantic Web [5]. It can be used to create ontologies and markup information resource like web pages. The information resource can be read by human and understood by agent programs. We believed DAML could be used to markup agent communication content and promote knowledge sharing and exchanging between agents. This paper also suggested an alternative model to connect web and agent together. We defined the necessary ontologies for agent communication in DAML language and described the agent communication scenario occurred in the ITTalks Project. © Springer-Verlag Berlin Heidelberg 2003.,Agent communication in DAML world,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Article,1/1/2003,Tim,Finin,2003
10.1007/978-3-540-45173-0_32,"Effective use of the vast quantity of available information and services on the Internet will require multi-agent systems to be tightly integrated with existing web infrastructure. This however will be impossible unless the information on the web is presented in a semantic language, such as the DARPA Agent Markup Language (DAML), which is one aim of the ""Semantic Web"". As part of our exploration of Semantic Web technology, and DAML in particular, we have constructed ITTALKS, a web-based system for automatic and intelligent notification of information technology talks. In this paper, we describe the ITTALKS system, and discuss the numerous ways in which the use of Semantic Web concepts and DAML extend its ability to provide an intelligent online service to both the human community and, more interestingly, the agents assisting them. © Springer-Verlag Berlin Heidelberg 2003.",Agents making sense of the semantic web,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Article,1/1/2003,Tim,Finin,2003
10.1007/978-3-540-45173-0_8,"Service matching is one of the crucial elements in the success of large, open agent systems. While finding ""perfect"" matches is always desirable, it is not always possible. The capabilities of an agent may change over time; some agents may be unwilling to, or unable to communicate their capabilities at the right level of details. The solution we propose is to have the broker agent dynamically refine the agent's capability model and to conduct performance rating. The agent capability model will be updated using the information from the consumer agent feedback, capability querying, etc. The update process is based on a concept of ""dynamic weight sum system"", as well as based on the local distribution of the agent services. We assume that the agents in the system share a common domain ontology that will be represented in DAML+OIL, and the agent capabilities will be described using DAML-S. © Springer-Verlag Berlin Heidelberg 2003.",Learning in the broker agent,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Article,1/1/2003,Tim,Finin,2003
10.1007/978-3-540-68677-4_3,"The Novamente AI Engine, a novel AI software system, is briefly reviewed. Novamente is an integrative artificial general intelligence design, which integrates aspects of many prior AI projects and paradigms, including symbolic, probabilistic, evolutionary programming and reinforcement learning approaches; but its overall architecture is unique, drawing on system-theoretic ideas regarding complex mental dynamics and associated emergent patterns. The chapter reviews both the conceptual models of mind and intelligence which inspired the system design, and the concrete architecture of Novamente as a software system.",The Novamente Artificial Intelligence Engine,Cognitive Technologies,Review,12/1/2007,Ben,Goertzel,2007
10.1007/978-3-540-69912-5_2,"The Psi theory of human action regulation is a candidate for a cognitive architecture that tackles the problem of the interrelation of motivation and emotion with cognitive processes. We have transferred this theory into a cognitive modeling framework, implemented as an AI architecture, called MicroPsi. Here, we describe the main assumptions of the Psi theory and summarize a neural prototyping algorithm that matches perceptual input to hierarchical declarative representations. © Springer-Verlag Berlin Heidelberg 2007.",MicroPsi: Contributions to a broad architecture of cognition,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2007,Joscha,Bach,2007
10.1007/978-3-540-74565-5_2,"With this talk we want to pay tribute to the late Professor Gerd Veenker who deserves the historic credit of initiating the formation of the German AI community. We present a summary of his scientific contributions in the context of the early approaches to theorem proving and, against this background, we point out future perspectives of Automated Deduction. © Springer-Verlag Berlin Heidelberg 2007.",Early history and perspectives of automated deduction,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2007,Wolfgang,Bibel,2007
10.1007/978-3-540-74889-2_43,"The HUMAINE project is concerned with developing interfaces that will register and respond to emotion, particularly pervasive emotion (forms of feeling, expression and action that colour most of human life). The HUMAINE Database provides naturalistic clips which record that kind of material, in multiple modalities, and labelling techniques that are suited to describing it. © Springer-Verlag Berlin Heidelberg 2007.",The HUMAINE database: Addressing the collection and annotation of naturalistic and induced emotional data,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2007,Laurence,Devillers,2007
10.1007/978-3-540-74976-9_21,"Markov logic networks (MLNs) combine Markov networks and first-order logic, and are a powerful and increasingly popular representation for statistical relational learning. The state-of-the-art method for discriminative learning of MLN weights is the voted perceptron algorithm, which is essentially gradient descent with an MPE approximation to the expected sufficient statistics (true clause counts). Unfortunately, these can vary widely between clauses, causing the learning problem to be highly ill-conditioned, and making gradient descent very slow. In this paper, we explore several alternatives, from per-weight learning rates to second-order methods. In particular, we focus on two approaches that avoid computing the partition function: diagonal Newton and scaled conjugate gradient. In experiments on standard SRL datasets, we obtain order-of-magnitude speedups, or more accurate models given comparable learning times. © Springer-Verlag Berlin Heidelberg 2007.",Efficient weight learning for Markov logic networks,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2007,Pedro,Domingos,2007
10.1007/978-3-540-74997-4_10,"Since the beginning of the SAIBA effort to unify key interfaces in the multi-modal behavior generation process, the Behavior Markup Language (BML) has both gained ground as an important component in many projects worldwide, and continues to undergo further refinement. This paper reports on the progress made in the last year in further developing BML. It discusses some of the key challenges identified that the effort is facing, and reviews a number of projects that already are making use of BML or support its use. © Springer-Verlag Berlin Heidelberg 2007.",The behavior markup language: Recent developments and challenges,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Conference Paper,1/1/2007,Justine,Cassell,2007
