"authors","title","update_date","abstract","nrc_sen","vader_sen","year"
"Huiyang Shao, Qianqian Xu, Zhiyong Yang, Shilong Bao, Qingming Huang","Asymptotically Unbiased Instance-wise Regularized Partial AUC
  Optimization: Theory and Algorithm",2022-10-12,"partial area roc curve pauc typically including oneway partial auc opauc twoway partial auc tpauc measures average performance binary classifier within specific false positive rate andor true positive rate interval widely adopted measure decision constraints must considered consequently pauc optimization naturally attracted increasing attention machine learning community within last years nonetheless existing methods optimize pauc approximately leading inevitable biases controllable fortunately recent work presents unbiased formulation pauc optimization problem via distributional robust optimization however based pairwise formulation auc suffers limited scalability wrt sample size slow convergence rate especially tpauc address issue present simpler reformulation problem asymptotically unbiased instancewise manner opauc tpauc come nonconvex strongly concave minimax regularized problem instancewise functions top employ efficient solver enjoys linear periteration computational complexity wrt sample size timecomplexity oepsilon reach epsilon stationary point furthermore find minimax reformulation also facilitates theoretical analysis generalization error byproduct compared existing results present new error bounds much easier prove deal hypotheses realvalued outputs finally extensive experiments several benchmark datasets demonstrate effectiveness method",10.35,0.961,2022
"Junho Choi, Namjung Kim and Youngjoon Hong","Unsupervised Legendre-Galerkin Neural Network for Singularly Perturbed
  Partial Differential Equations",2022-12-12,"machine learning methods lately used solve partial differential equations pdes dynamical systems approaches developed novel research field known scientific machine learning techniques deep neural networks statistical learning applied classical problems applied mathematics paper develop novel numerical algorithm incorporates machine learning artificial intelligence solve pdes based legendregalerkin framework propose unsupervised machine learning algorithm learn multiple instances solutions different types pdes approach overcomes limitations datadriven physicsbased methods proposed neural network applied general d d pdes various boundary conditions well convectiondominated singularly perturbed pdes exhibit strong boundary layer behavior",4.8,0.91,2022
"Raphael Joud, Pierre-Alain Moellic, Simon Pontie, Jean-Baptiste Rigaud","A Practical Introduction to Side-Channel Extraction of Deep Neural
  Network Parameters",2022-11-11,"model extraction major threat embedded deep neural network models leverages extended attack surface indeed physically accessing device adversary may exploit sidechannel leakages extract critical information model ie architecture internal parameters different adversarial objectives possible including fidelitybased scenario architecture parameters precisely extracted model cloning focus work software implementation deep neural networks embedded highend bit microcontroller cortexm expose several challenges related fidelitybased parameters extraction sidechannel analysis basic multiplication operation feedforward connection layers precisely extract value parameters represented singleprecision floating point ieee standard propose iterative process evaluated simulations traces cortexm target knowledge work first target highend bit platform importantly raise discuss remaining challenges complete extraction deep neural network model particularly critical case biases",-1.1,-0.893,2022
"Masood S. Mortazavi, Tiancheng Qin, Ning Yan","Theta-Resonance: A Single-Step Reinforcement Learning Method for Design
  Space Exploration",2022-11-18,"given environment eg simulator evaluating samples specified design space set weighted evaluation metrics one can use thetaresonance singlestep markov decision process mdp train intelligent agent producing progressively optimal samples thetaresonance neural network consumes constant input tensor produces policy set conditional probability density functions pdfs sampling design dimension specialize existing policy gradient algorithms deep reinforcement learning drl order use evaluation feedback terms cost penalty reward update policy network robust algorithmic stability minimal design evaluations study multiple neural architectures policy network within context simple soc design space propose method constructing synthetic space exploration problems compare improve design space exploration dse algorithms although present categorical design spaces also outline use thetaresonance order explore continuous mixed continuousdiscrete design spaces",6.05,0.891,2022
"Yang Liu, Ersi Zhang, Lulu Xu, Chufan Xiao, Xiaoyun Zhong, Lijin Lian,
  Fang Li, Bin Jiang, Yuhan Dong, Lan Ma, Qiming Huang, Ming Xu, Yongbing
  Zhang, Dongmei Yu, Chenggang Yan, and Peiwu Qin","Mixed-UNet: Refined Class Activation Mapping for Weakly-Supervised
  Semantic Segmentation with Multi-scale Inference",2022-05-10,"deep learning techniques shown great potential medical image processing particularly accurate reliable image segmentation magnetic resonance imaging mri scans computed tomography ct scans allow localization diagnosis lesions however training segmentation models requires large number manually annotated pixellevel labels timeconsuming laborintensive contrast imagelevel labels easier obtain imperative resolve problem weaklysupervised semantic segmentation models using imagelevel labels supervision since can significantly reduce human annotation efforts advanced solutions exploit class activation mapping cam however original cams rarely capture precise boundaries lesions study propose strategy multiscale inference refine cams reducing detail loss singlescale reasoning segmentation develop novel model named mixedunet two parallel branches decoding phase results can obtained fusing extracted features two branches evaluate designed mixedunet several prevalent deep learningbased segmentation approaches dataset collected local hospital public datasets validation results demonstrate model surpasses available methods supervision level segmentation various lesions brain imaging",6.15,0.912,2022
"Ji Won Yoon, Beom Jun Woo, Sunghwan Ahn, Hyeonseung Lee, and Nam Soo
  Kim","Inter-KD: Intermediate Knowledge Distillation for CTC-Based Automatic
  Speech Recognition",2022-11-29,"recently advance deep learning brought considerable improvement endtoend speech recognition field simplifying traditional pipeline producing promising results among endtoend models connectionist temporal classification ctcbased model attracted research interest due nonautoregressive nature however ctc models require heavy computational cost achieve outstanding performance mitigate computational burden propose simple yet effective knowledge distillation kd ctc framework namely interkd additionally transfers teachers knowledge intermediate ctc layers student network experimental results librispeech verify interkd shows better achievements compared conventional kd methods without using language model lm data augmentation interkd improves word error rate wer performance testclean",11.45,0.958,2022
"Huming Qiu, Hua Ma, Zhi Zhang, Yifeng Zheng, Anmin Fu, Pan Zhou,
  Yansong Gao, Derek Abbott, Said F. Al-Sarawi","RBNN: Memory-Efficient Reconfigurable Deep Binary Neural Network with IP
  Protection for Internet of Things",2022-08-04,"though deep neural network models exhibit outstanding performance various applications large model size extensive floatingpoint operations render deployment mobile computing platforms major challenge particular internet things devices one appealing solution model quantization reduces model size uses integer operations commonly supported microcontrollers end bit quantized dnn model deep binary neural network maximizes memory efficiency parameter bnn model bit paper propose reconfigurable bnn rbnn amplify memory efficiency resourceconstrained iot devices generally rbnn can reconfigured demand achieve one m m distinct tasks parameter set thus single task determines memory requirements words memory utilization improved times m extensive experiments corroborate seven commonly used tasks can coexist value m can larger tasks varying number classes negligible accuracy dropoff three binarized popular dnn architectures including vgg resnet reactnet tasks span across different domains eg computer vision audio domains validated herein prerequisite model architecture can serve crossdomain tasks protect intellectual property rbnn model reconfiguration can controlled user key deviceunique root key generated intrinsic hardware fingerprint rbnn model can used per paid user per authorized device thus benefiting user model provider",11.45,0.982,2022
"Eva Schnider, Antal Huck, Mireille Toranelli, Georg Rauter, Azhar Zam,
  Magdalena M\""uller-Gerbl, Philippe Cattin","Ensemble uncertainty as a criterion for dataset expansion in distinct
  bone segmentation from upper-body CT images",2022-08-22,"purpose localisation segmentation individual bones important preprocessing step many planning navigation applications however timeconsuming repetitive task done manually true clinical practice also acquisition training data therefore present endtoend learnt algorithm capable segmenting distinct bones upperbody ct also provide ensemblebased uncertainty measure helps single scans enlarge training dataset methods create fully automated endtoend learnt segmentations using neural network architecture inspired dunet fully supervised training results improved using ensembles inferencetime augmentation examine relationship ensembleuncertainty unlabelled scans prospective usefulness part training dataset results methods evaluated inhouse dataset upperbody ct scans resolution simillimeter per dimension taking account bones label set successful ensemble achieves median dice score coefficient find lack correlation scans ensemble uncertainty prospective influence accuracies achieved within enlarged training set time show ensemble uncertainty correlates number voxels need manual correction initial automated segmentation thus minimising time required finalise new ground truth segmentation conclusion combination scans low ensemble uncertainty need less annotator time yielding similar future dsc improvements thus ideal candidates enlarge training set upperbody distinct bone segmentation ct scans",9.75,0.948,2022
"Angie Boggust, Harini Suresh, Hendrik Strobelt, John V. Guttag, Arvind
  Satyanarayan","Saliency Cards: A Framework to Characterize and Compare Saliency Methods",2023-06-01,"saliency methods common class machine learning interpretability techniques calculate important input feature models output find rapid pace development users struggle stay informed strengths limitations new methods thus choose methods unprincipled reasons eg popularity moreover despite corresponding rise evaluation metrics existing approaches assume universal desiderata saliency methods eg faithfulness account diverse user needs response introduce saliency cards structured documentation saliency methods operate performance across battery evaluative metrics review saliency method papers method evaluations identify attributes users account choosing method group attributes three categories span process computing interpreting saliency methodology saliency calculated sensitivity relationship saliency underlying model data perceptibility end user ultimately interprets result collating information saliency cards allow users holistically assess compare implications different methods nine semistructured interviews users various backgrounds including researchers radiologists computational biologists find saliency cards provide detailed vocabulary discussing individual methods allow systematic selection taskappropriate methods moreover saliency cards able analyze research landscape structured fashion identify opportunities new methods evaluation metrics unmet user needs",7.2,0.912,2023
"Ruqayya Awan, Mohammed Nimir, Shan E Ahmed Raza, Mohsin Bilal,
  Johannes Lotz, David Snead, Andrew Robinson, Nasir Rajpoot","Deep Learning based Prediction of MSI using MMR Markers in Colorectal
  Cancer",2022-04-27,"accurate diagnosis molecular profiling colorectal cancers critical planning best treatment options patients microsatellite instability msi mismatch repair mmr status plays vital role appropriate treatment selection prognostic implications used investigate possibility patients underlying genetic disorders lynch syndrome nice recommends crc patients offered mmrmsi testing immunohistochemistry commonly used assess mmr status subsequent molecular testing performed required incurs significant extra costs requires additional resources introduction automated methods can predict msi mmr status target image substantially reduce cost associated mmr testing unlike previous studies msi prediction involving training cnn using coarse labels msi vs microsatellite stable mss utilised finegrain mmr labels training purposes paper present work predicting msi status twostage process using single target slide either stained ck first trained multiheaded convolutional neural network model head responsible predicting one mmr protein expressions end performed registration mmr stained slides target slide preprocessing step second stage statistical features computed mmr prediction maps used final msi prediction results demonstrated msi classification can improved incorporating finegrained mmr labels comparison previous approaches coarse labels utilised",6,0.953,2022
"Chenfei Wu, Shengming Yin, Weizhen Qi, Xiaodong Wang, Zecheng Tang,
  Nan Duan","Visual ChatGPT: Talking, Drawing and Editing with Visual Foundation
  Models",2023-03-09,"chatgpt attracting crossfield interest provides language interface remarkable conversational competency reasoning capabilities across many domains however since chatgpt trained languages currently capable processing generating images visual world time visual foundation models visual transformers stable diffusion although showing great visual understanding generation capabilities experts specific tasks oneround fixed inputs outputs end build system called textbfvisual chatgpt incorporating different visual foundation models enable user interact chatgpt sending receiving languages also images providing complex visual questions visual editing instructions require collaboration multiple ai models multisteps providing feedback asking corrected results design series prompts inject visual model information chatgpt considering models multiple inputsoutputs models require visual feedback experiments show visual chatgpt opens door investigating visual roles chatgpt help visual foundation models system publicly available urlhttpsgithubcommicrosoftvisualchatgpt",11.7,0.965,2023
"Charles Edison Tripp, Jordan Perr-Sauer, Lucas Hayne, Monte Lunacek","An Empirical Deep Dive into Deep Learning's Driving Dynamics",2022-07-27,"present empirical dataset surveying deep learning phenomenon fullyconnected networks encompassing training test performance numerous network topologies sweeping across multiple learning tasks depths numbers free parameters learning rates batch sizes regularization penalties dataset probes thousand hyperparameter settings average repetitions totaling million training runs performance metrics billion training epochs observed accumulating gb dataset utilized cpu coreyears gpuyears nodeyears additionally provide preliminary analysis revealing patterns persist across learning tasks topologies aim inspire work empirically studying modern machine learning techniques catalyst theoretical discoveries needed progress field beyond energyintensive heuristic practices",5.75,0.869,2022
"Jingyi Shi, Yang Xiao, Yuekang Li, Yeting Li, Dongsong Yu, Chendong
  Yu, Hui Su, Yufeng Chen, Wei Huo","ACETest: Automated Constraint Extraction for Testing Deep Learning
  Operators",2023-05-30,"deep learning dl applications prevalent nowadays can help multiple tasks dl libraries essential building dl applications furthermore dl operators important building blocks dl libraries compute multidimensional data tensors therefore bugs dl operators can great impacts testing practical approach detecting bugs dl operators order test dl operators effectively essential test cases pass input validity check able reach core function logic operators hence extracting input validation constraints required generating highquality test cases existing techniques rely either human effort documentation dl library apis extract constraints extract complex constraints extracted constraints may differ actual code implementation address challenge propose acetest technique automatically extract input validation constraints code build valid yet diverse test cases can effectively unveil bugs core function logic dl operators purpose acetest can automatically identify input validation code dl operators extract related constraints generate test cases according constraints experimental results popular dl libraries tensorflow pytorch demonstrate acetest can extract constraints higher quality stateoftheart sota techniques moreover acetest capable extracting constraints detecting times bugs sota techniques total used acetest detect previously unknown bugs tensorflow pytorch confirmed developers lastly five bugs assigned cve ids due security impacts",8.15,0.962,2023
"Chin Woei Lim, Richard Allmendinger, Joshua Knowles, Ayesha Alhosani,
  Mercedes Bleda","Cooperative Multi-Agent Search on Endogenously-Changing Fitness
  Landscapes",2022-06-29,"use multiagent system model agents representing firms may collaborate adapt business landscape influential firms given power shape landscape firms landscapes study based wellknown nk model kauffman addition shapers firms can change landscapes features players work investigates firms additionally endowed cognitive experiential search ability form collaborations firms can use capabilities adapt quickly adeptly find collaborative group firms must still mind resist direct mimicry stronger partners attain better heights collectively larger groups groups influential members generally better targeted intelligent cooperation beneficial conclusions tentative results show sensitivity landscape ruggedness malleability ie capacity landscape changed shaper firms overall work demonstrates potential computer science evolution machine learning contribute business strategy complex environments",10.4,0.966,2022
"Vincent Fortuin, Adri\`a Garriga-Alonso, Sebastian W. Ober, Florian
  Wenzel, Gunnar R\""atsch, Richard E. Turner, Mark van der Wilk, Laurence
  Aitchison","Bayesian Neural Network Priors Revisited",2022-03-17,"isotropic gaussian priors de facto standard modern bayesian neural network inference however unclear whether priors accurately reflect true beliefs weight distributions give optimal performance find better priors study summary statistics neural network weights networks trained using stochastic gradient descent sgd find convolutional neural network cnn resnet weights display strong spatial correlations fully connected networks fcnns display heavytailed weight distributions show building observations priors can lead improved performance variety image classification datasets surprisingly priors mitigate cold posterior effect fcnns slightly increase cold posterior effect resnets",5.9,0.941,2022
"Oh-Hyun Kwon, Chiun-How Kao, Chun-houh Chen, Kwan-Liu Ma","A Deep Generative Model for Reordering Adjacency Matrices",2022-03-09,"depending node ordering adjacency matrix can highlight distinct characteristics graph deriving proper node ordering thus critical step visualizing graph adjacency matrix users often try multiple matrix reorderings using different methods find one meets analysis goal however trialanderror approach laborious disorganized especially challenging novices paper presents technique enables users effortlessly find matrix reordering want specifically design generative model learns latent space diverse matrix reorderings given graph also construct intuitive user interface learned latent space creating map various matrix reorderings demonstrate approach quantitative qualitative evaluations generated reorderings learned latent spaces results show model capable learning latent space diverse matrix reorderings existing research area generally focused developing algorithms can compute better matrix reorderings particular circumstances paper introduces fundamentally new approach matrix visualization graph machine learning model learns generate diverse matrix reorderings graph",4.5,0.855,2022
"Hazem Lashen, Lilas Alrahis, Johann Knechtel, and Ozgur Sinanoglu","TrojanSAINT: Gate-Level Netlist Sampling-Based Inductive Learning for
  Hardware Trojan Detection",2023-01-30,"propose trojansaint graph neural network gnnbased hardware trojan ht detection scheme working gate level unlike prior gnnbased art trojansaint enables prepostsilicon ht detection trojansaint leverages samplingbased gnn framework detect also localize hts practical validation trojansaint achieves average oa true positive rate tpr true negative rate tnr respectively various trusthub ht benchmarks bestcase validation trojansaint even achieves tpr tnr oa trojansaint outperforms related prior works baseline classifiers release source codes result artifacts",2.85,0.785,2023
"Gaurush Hiranandani","Classification Performance Metric Elicitation and its Applications",2022-08-22,"given learning problem realworld tradeoffs cost function model trained optimize metric selection problem machine learning despite practical interest limited formal guidance select metrics machine learning applications thesis outlines metric elicitation principled framework selecting performance metric best reflects implicit user preferences specified evaluation metric can used compare train models manuscript formalize problem metric elicitation devise novel strategies eliciting classification performance metrics using pairwise preference feedback classifiers specifically provide novel strategies eliciting linear linearfractional metrics binary multiclass classification problems extended framework elicits groupfair performance metrics presence multiple sensitive groups elicitation strategies discuss robust finite sample feedback noise thus useful practice realworld applications using tools geometric characterizations feasible confusion statistics sets binary multiclass multiclassmultigroup classification setups provide strategies elicit wider range complex modern multiclass metrics defined quadratic functions confusion statistics exploiting local linear structure application perspective also propose use metric elicitation framework optimizing complex black box metrics amenable deep network training lastly bring theory closer practice conduct preliminary realuser study shows efficacy metric elicitation framework recovering users preferred performance metric binary classification setup",9.05,0.337,2022
"Dimitris Perdios, Manuel Vonlanthen, Florian Martinez, Marcel Arditi,
  Jean-Philippe Thiran","CNN-Based Image Reconstruction Method for Ultrafast Ultrasound Imaging",2022-04-04,"ultrafast ultrasound us revolutionized biomedical imaging capability acquiring fullview frames khz unlocking breakthrough modalities shearwave elastography functional us neuroimaging yet suffers strong diffraction artifacts mainly caused grating lobes side lobes edge waves multiple acquisitions typically required obtain sufficient image quality cost reduced frame rate answer increasing demand highquality imaging single unfocused acquisitions propose twostep convolutional neural network cnnbased image reconstruction method compatible realtime imaging lowquality estimate obtained means backprojectionbased operation akin conventional delayandsum beamforming highquality image restored using residual cnn multiscale multichannel filtering properties trained specifically remove diffraction artifacts inherent ultrafast us imaging account high dynamic range oscillating properties radio frequency us images introduce mean signed logarithmic absolute error mslae training loss function experiments conducted linear transducer array single planewave pw imaging trainings performed simulated dataset crafted contain wide diversity structures echogenicities extensive numerical evaluations demonstrate proposed approach can reconstruct images single pws quality similar goldstandard synthetic aperture imaging dynamic range excess db vitro vivo experiments show trainings carried simulated data perform well experimental settings",4.2,0.077,2022
"Junyi Gao, Chaoqi Yang, George Heintz, Scott Barrows, Elise Albers,
  Mary Stapel, Sara Warfield, Adam Cross, Jimeng Sun, the N3C consortium","MedML: Fusing Medical Knowledge and Machine Learning Models for Early
  Pediatric COVID-19 Hospitalization and Severity Prediction",2022-07-28,"covid pandemic caused devastating economic social disruption straining resources healthcare institutions worldwide led nationwide call models predict hospitalization severe illness patients covid inform distribution limited healthcare resources respond one calls specific pediatric population address challenge study two prediction tasks pediatric population using electronic health records predicting children likely hospitalized among hospitalized children individuals likely develop severe symptoms respond national pediatric covid data challenge novel machine learning model medml medml extracts predictive features based medical knowledge propensity scores million medical concepts incorporates interfeature relationships heterogeneous medical features via graph neural networks gnn evaluate medml across patients hospitalization prediction task patients severity prediction task using data national cohort collaborative nc dataset also report detailed grouplevel individuallevel feature importance analyses evaluate model interpretability medml achieves higher auroc score higher auprc score compared best baseline machine learning models performs well across nine national geographic regions threemonth spans since start pandemic crossdisciplinary research team developed method incorporating clinical domain knowledge framework new type machine learning model predictive explainable current stateoftheart datadriven feature selection methods",-0.45,-0.735,2022
"Justin D. Weisz, Michael Muller, Jessica He, Stephanie Houde","Toward General Design Principles for Generative AI Applications",2023-01-16,"generative ai technologies growing power utility use generative technologies incorporated mainstream applications need guidance design applications foster productive safe use based recent research humanai cocreation within hci ai communities present set seven principles design generative ai applications principles grounded environment generative variability six principles focused designing characteristics generative ai multiple outcomes imperfection exploration control mental models explanations addition urge designers design potential harms may caused generative models hazardous output misuse potential human displacement anticipate principles usefully inform design decisions made creation novel humanai applications invite community apply revise extend principles work",3.25,0.908,2023
"Yunyang Li, Yusong Wang, Lin Huang, Han Yang, Xinran Wei, Jia Zhang,
  Tong Wang, Zun Wang, Bin Shao, Tie-Yan Liu","Long-Short-Range Message-Passing: A Physics-Informed Framework to
  Capture Non-Local Interaction for Scalable Molecular Dynamics Simulation",2023-05-19,"computational simulation chemical biological systems using ab initio molecular dynamics challenge decades researchers attempted address problem machine learning fragmentationbased methods however two approaches fail give satisfactory description longrange manybody interactions respectively inspired fragmentationbased methods propose longshortrange messagepassing lsrmp framework generalization existing equivariant graph neural networks egnns intent incorporate longrange interactions efficiently effectively apply lsrmp framework recently proposed visnet demonstrate stateoftheart results error reduction molecules md chignolin datasets consistent improvements various egnns will also discussed illustrate general applicability robustness lsrmp framework",4.3,0.818,2023
"Mengzhao Chen, Mingbao Lin, ZhiHang Lin, Yuxin Zhang, Fei Chao,
  Rongrong Ji","SMMix: Self-Motivated Image Mixing for Vision Transformers",2023-03-20,"cutmix vital augmentation strategy determines performance generalization ability vision transformers vits however inconsistency mixed images corresponding labels harms efficacy existing cutmix variants tackle problem generating consistent mixed images precise mixed labels inevitably introduce heavy training overhead require extra information undermining ease use end propose novel effective selfmotivated image mixing method smmix motivates image label enhancement model training specifically propose maxmin attention region mixing approach enriches attentionfocused objects mixed images introduce finegrained label assignment technique cotrains output tokens mixed images finegrained supervision moreover devise novel feature consistency constraint align features mixed unmixed images due subtle designs selfmotivated paradigm smmix significant smaller training overhead better performance cutmix variants particular smmix improves accuracy deittsb caitxxs pvttsml imagenetk generalization capability method also demonstrated downstream tasks outofdistribution datasets project anonymously available httpsgithubcomchenmnzsmmix",7.65,0.915,2023
"Sachin Mehta and Mohammad Rastegari","Separable Self-attention for Mobile Vision Transformers",2022-06-07,"mobile vision transformers mobilevit can achieve stateoftheart performance across several mobile vision tasks including classification detection though models fewer parameters high latency compared convolutional neural networkbased models main efficiency bottleneck mobilevit multiheaded selfattention mha transformers requires ok time complexity respect number tokens patches k moreover mha requires costly operations eg batchwise matrix multiplication computing selfattention impacting latency resourceconstrained devices paper introduces separable selfattention method linear complexity ie ok simple yet effective characteristic proposed method uses elementwise operations computing selfattention making good choice resourceconstrained devices improved model mobilevitv stateoftheart several mobile vision tasks including imagenet object classification mscoco object detection three million parameters mobilevitv achieves top accuracy imagenet dataset outperforming mobilevit running times faster mobile device source code available urlhttpsgithubcomapplemlcvnets",9,0.973,2022
"Marco Braun, Alessandro Cennamo, Markus Schoeler, Kevin Kollek, Anton
  Kummert","Semantic Segmentation of Radar Detections using Convolutions on Point
  Clouds",2023-05-23,"autonomous driving radar sensors provide superior reliability regardless weather conditions well significantly high detection range stateoftheart algorithms environment perception based radar scans build deep neural network architectures can costly terms memory computation processing radar scans point clouds however increase efficiency can achieved respect convolutional neural networks show superior performance pattern recognition regular data formats like images concept convolutions yet fully established domain radar detections represented point clouds main challenge convolving point clouds lies irregular unordered data format associated permutation variance therefore apply deeplearning based method introduced pointcnn weights permutes grouped radar detections allowing resulting permutation invariant cluster convolved addition adapt algorithm radarspecific properties distancedependent clustering preprocessing input point clouds finally show network outperforms stateoftheart approaches based pointnet task semantic segmentation radar point clouds",8.05,0.939,2023
"Marek Wydmuch, Micha{\l} Kempka, Wojciech Ja\'skowski","ViZDoom Competitions: Playing Doom from Pixels",2022-07-28,"paper presents first two editions visual doom ai competition held challenge create bots compete multiplayer deathmatch firstperson shooter fps game doom bots make decisions based solely visual information ie raw screen buffer play well bots needed understand surroundings navigate explore handle opponents time aspects together competitive multiagent aspect game make competition unique platform evaluating state art reinforcement learning algorithms paper discusses rules solutions results statistics give insight agents behaviors bestperforming agents described detail results competition lead conclusion although reinforcement learning can produce capable doom bots still yet able successfully compete humans game paper also revisits vizdoom environment flexible easy use efficient d platform research visionbased reinforcement learning based wellrecognized firstperson perspective game doom",8,0.872,2022
"Nuno R. C. Gomes, Fabio Del Sordo, Lu\'is Torgo","Predicting Stellar Rotation Periods Using XGBoost",2023-05-05,"work aims develop computationally inexpensive approach based machine learning techniques accurately predict thousands stellar rotation periods innovation approach use xgboost algorithm predict rotation periods kepler targets means regression analysis therefore focused building robust supervised machine learning model predict surface stellar rotation periods structured data sets built kepler catalogue k m stars analysed set independent variables extracted kepler light curves investigated relationships ground truth using extreme gradient boosting method obtained minimal set variables can used build machine learning models predicting stellar rotation periods models validated predicting rotation periods stars results compatible obtained classical techniques comparable obtained recent machine learning approaches advantage using much fewer predictors restricting analysis stars rotation periods less days models average correct developed innovative approach based machine learning method accurately fit rotation periods stars based results study conclude best models generated proposed methodology competitive stateoftheart approaches advantage computationally cheaper easy train relying small sets predictors",13.3,0.978,2023
"Nicholas Soucy, Salimeh Yasaei Sekeh","CEU-Net: Ensemble Semantic Segmentation of Hyperspectral Images Using
  Clustering",2022-03-15,"semantic segmentation approaches hyperspectral images hsis use require preprocessing steps form patching accurately classify diversified land cover remotely sensed images approaches use patching incorporate rich neighborhood information images exploit simplicity segmentability common hsi datasets contrast landmasses world consist overlapping diffused classes making neighborhood information weaker seen common hsi datasets combat issue generalize segmentation models complex diverse hsi datasets work propose novel flagship model clustering ensemble unet ceunet ceunet uses ensemble method combine spectral information extracted convolutional neural network cnn training cluster landscape pixels ceunet model outperforms existing stateoftheart hsi semantic segmentation methods gets competitive performance without patching compared baseline models highlight ceunets high performance across botswana ksc salinas datasets compared hybridsn aerorit methods",3.8,0.572,2022
"Anmol Dwivedi and Ali Tajer","GRNN-based Real-time Fault Chain Prediction",2023-03-17,"paper proposes datadriven graphical framework realtime search risky cascading fault chains fcs identifying risky fcs pivotal alleviating cascading failures complex spatiotemporal dependencies among components power system render challenges modeling analyzing fcs furthermore realtime search risky fcs faces inherent combinatorial complexity grows exponentially size system proposed framework leverages recent advances graph recurrent neural networks circumvent computational complexities realtime search fcs search process formalized partially observable markov decision process pomdp subsequently solved via timevarying graph recurrent neural network grnn judiciously accounts inherent temporal spatial structures data generated system key features structure include leveraging spatial structure data induced system topology ii leveraging temporal structure data induced system dynamics iii efficiently summarizing systems history latent space grnn proposed frameworks efficiency compared relevant literature ieee bus new england system ieee bus system",4.6,-0.103,2023
"Maryam Daneshi, Reza Taghavi Fard, Zahra Sadat Zomorodian, Mohammad
  Tahsildoost","Development of a hybrid machine-learning and optimization tool for
  performance-based solar shading design",2022-01-11,"solar shading design done desired indoor environmental quality ieq early design stages field can challenging timeconsuming also requires experts sophisticated software large amount money primary purpose research design simple tool study various models solar shadings make decisions easier faster early stages database generation methods artificial intelligence optimization used achieve goal tool includes two main parts predicting performance userselected model along proposing effective parameters proposing optimal preprepared models user regard initially sidelit shoebox model variable parameters modeled parametrically five common solar shading models variables applied space solar shadings state without shading metrics related daylight glare view initial costs simulated database generated research includes alternatives six calculated metrics introduced optimized machine learning models including neural network random forrest support vector regression k nearest neighbor according results accurate fastest estimation model random forrest rscore sensitivity analysis performed identify influential parameters shading model state without analysis distinguished effective parameters including window orientation wwr room width length shading depth finally optimizing estimation function machine learning models nsga ii algorithm optimal models identified developed tool can evaluate various design alternatives less seconds",14.3,0.983,2022
"Bj{\o}rn-Richard Pedersen, Einar Holsb{\o}, Trygve Andersen, Nikita
  Shvetsov, Johan Ravn, Hilde Leikny Sommerseth, Lars Ailo Bongo","Lessons learned developing and using a machine learning model to
  automatically transcribe 2.3 million handwritten occupation codes",2022-01-07,"machine learning approaches achieve high accuracy text recognition therefore increasingly used transcription handwritten historical sources however using machine learning production requires streamlined endtoend pipeline scales dataset size model achieves high accuracy manual transcriptions correctness model results must also verified paper describes lessons learned developing tuning using occode endtoend machine learning pipeline transcribing million handwritten occupation codes norwegian population census achieve accuracy automatically transcribed codes send codes manual verification verify occupation code distribution found results matches distribution found training data representative census whole believe approach lessons learned may useful transcription projects plan use machine learning production source code available httpsgithubcomuithdlrhdcodes",6.85,0.44,2022
"Viswanatha V, Chandana R K, Ramachandra A.C.","Real Time Object Detection System with YOLO and CNN Models: A Review",2022-08-02,"field artificial intelligence built object detection techniques look yolo algorithm evolved versions briefly described research survey survey yolo convolution neural networks cnnin direction real time object detectionyolo generalized object representation effectively without precision losses object detection modelscnn architecture models ability eliminate highlights identify objects given image implemented appropriately cnn models can address issues like deformity diagnosis creating educational instructive application etc article reached atnumber observations perspective findings analysisalso provides support focused visual information feature extraction financial industries highlights method target detection feature selection briefly describe development process yolo algorithm",3.95,0.973,2022
"Elizabeth Anne Watkins and Michael McKenna and Jiahao Chen","The four-fifths rule is not disparate impact: a woeful tale of epistemic
  trespassing in algorithmic fairness",2022-02-22,"computer scientists trained create abstractions simplify generalize however premature abstraction omits crucial contextual details creates risk epistemic trespassing falsely asserting relevance contexts study field responsible ai created imperfect synecdoche abstracting fourfifths rule aka rule rule single part disparate impact discrimination law disparate impact metric metric incorrectly introduces new deontic nuance new potentials ethical harms absent original rule also survey field amplified potential harm codifying rule popular ai fairness software toolkits harmful erasure legal nuances wakeup call computer scientists selfcritically reevaluate abstractions create use particularly interdisciplinary field ai ethics",-2.75,0.751,2022
"Kamil Deja, Tomasz Trzcinski, Jakub M. Tomczak","Learning Data Representations with Joint Diffusion Models",2023-04-06,"joint machine learning models allow synthesizing classifying data often offer uneven performance tasks unstable train work depart set empirical observations indicate usefulness internal representations built contemporary deep diffusionbased generative models generating also predicting propose extend vanilla diffusion model classifier allows stable joint endtoend training shared parameterization objectives resulting joint diffusion model outperforms recent stateoftheart hybrid methods terms classification generation quality evaluated benchmarks top joint training approach present can directly benefit shared generative discriminative representations introducing method visual counterfactual explanations",6.45,0.902,2023
